Nest,NoiseValue,NightLightReflect,UrbanDensity,cort,lead,nest average weight,# nestlings,sex,weight,tarsus
A122,34.9996986,0.0008804,0.0081888,13,11,28.5,5,F,27,1.95
A123,34.9996986,0.0008804,0.0077425,13.8,14.8,28.5,5,M,30.5,1.55
A16,38.4747009,0.0092718,0.0507615,12,7.4,28,4,F,27,1.4
A17,38.4747009,0.0092718,0.0482273,12.6,11,28,4,M,28.5,1.55
A20,38.6092987,0.0092718,0.0639453,9,8.9,29,5,F,24,1.7
A21,38.6092987,0.0092718,0.0685875,15,8,29,5,M,26.5,1.4
A25,38.3092003,0.0085001,0.0702122,15.9,12,28.6,5,M,27,1.65
A26,38.3092003,0.0085001,0.0769461,3,9,28.6,5,F,26.5,1.7
A29,38.0126991,0.0085001,0.088522,4,9,29.5,6,F,25.5,1.85
A30,38.0126991,0.0085001,0.0870229,26,17.2,29.5,6,M,25,1.7
A38,37.759201,0.0085001,0.0587322,21,12.4,29.21,4,F,28,1.75
A39,37.759201,0.0085001,0.0642661,12,11,29.21,4,M,27,1.7
A42,37.759201,0.0085001,0.0565137,5,10,29.6,4,F,31,1.6
A43,37.759201,0.0085001,0.057098,18,12,29.6,4,M,31,1.6
A46,37.4798012,0.0077865,0.0591862,22,12.4,30,5,F,26,1.35
A47,37.4798012,0.0077865,0.0597124,27,17.4,30,5,M,27.5,1.8
A69,36.7953987,0.0039361,0.0634152,3,4.6,30,4,M,25,1.5
A7,38.4747009,0.0042614,0.0367865,4,5,29,5,M,29.5,1.8
A70,36.7953987,0.0039361,0.0630329,20,12,30,4,F,27,1.65
A74,36.4311981,0.0039361,0.0721714,3.9,6,26.9,4,M,27.5,1.6
A75,36.4311981,0.0045558,0.0710143,10,7,26.9,4,F,27,1.4
A8,38.4747009,0.0042614,0.0385712,2.1,5,29,5,F,26.5,1.7
A80,36.2556992,0.0045558,0.067782,6,10,29.2,4,F,26,1.8
A81,36.2556992,0.0045558,0.0660472,23.9,14.5,28.5,4,M,25,1.5
A92,36.1693001,0.0050908,0.0562417,2.5,5.5,29.8,5,M,26,1.65
A93,36.1693001,0.0021926,0.0459804,2.8,5.8,29.8,5,F,28,1.9
B11,41.8013992,0.0090935,0.16728,38,16,24,4,F,27,1.5
B13,41.8013992,0.0090935,0.169008,38.7,18.4,24,4,M,31,1.6
B18,42.0481987,0.0090935,0.172221,39.9,19,26.1,5,F,26,1.4
B19,42.0481987,0.0105566,0.172958,38.9,18,26.1,5,M,29,1.45
B22,42.0481987,0.0105566,0.174061,38.9,18.5,27,3,F,28.5,1.7
B23,42.0481987,0.0105566,0.174387,35,17.8,27,3,M,24.5,1.55
B26,41.6610985,0.0061744,0.131356,39.5,19.1,23.9,4,F,27.5,1.6
B28,41.6610985,0.0061744,0.135356,23,17,23.9,4,M,26,1.65
B32,41.4775009,0.0052388,0.141314,33,13,26.8,3,F,27,1.6
B33,41.4775009,0.0052388,0.142562,28,13,26.8,3,M,26,1.8
B34,41.2961998,0.0112574,0.147887,30,13.8,26.6,4,F,27,1.65
B35,42.2282982,0.0112574,0.149304,36,14,26.6,4,M,26.5,1.7
B37,42.5793991,0.0112574,0.149027,39.6,19,27,4,F,24,1.7
B38,42.5793991,0.0134603,0.150538,37.5,19.8,27,4,M,26.5,1.4
B40,42.5793991,0.0112574,0.154032,22,17,25.3,5,F,27.5,1.6
B41,42.5793991,0.0112574,0.150724,25,17,25.3,5,M,27,1.4
B43,42.5793991,0.0112574,0.153777,30,13,25.5,5,F,29.5,1.8
B44,42.5793991,0.0112574,0.157093,39.2,13.6,25.5,5,M,26.5,1.7
B51,42.3419991,0.0134603,0.144048,32.9,18,25,5,M,28,1.65
B53,42.9617004,0.0134603,0.150117,35.1,19,26.9,5,F,30.5,1.55
B54,42.9617004,0.0134603,0.150796,35.8,18,26.9,5,M,27.5,1.65
B6,40.5317001,0.0090935,0.162602,38.6,19,26,5,M,27.5,1.7
B7,40.5317001,0.0090935,0.162602,41,18.2,25.9,5,F,26,1.35
C1,40.1520996,0.0017707,0.0878853,21.9,15,27,5,M,30.5,1.55
C10,39.6077003,0.0011888,0.0784217,30,14.5,26.5,4,F,26.5,1.8
C14,39.2314987,0.0011888,0.0768832,21,14.7,25.5,5,F,26.5,1.7
C15,39.2314987,0.0011888,0.075281,20.5,15,25.5,5,M,25.5,1.87
C2,40.1520996,0.0015759,0.0863978,28,14.7,27,5,F,27.5,1.65
C23,39.3695984,0.001235,0.0723671,23.5,15.3,26.6,4,M,29,1.45
C24,39.3695984,0.001235,0.0732338,22.4,14.3,26.6,4,F,26,1.45
C28,39.3695984,0.0015759,0.0766627,24.8,15.3,25.8,5,F,27,1.95
C29,39.3695984,0.0015759,0.0741763,33,17,25.8,5,M,26,1.8
C9,39.6077003,0.0011888,0.0786747,28.6,14,26.5,4,M,28.5,1.98
I1,50.3129005,0.0069287,0.141335,37,16.5,26.3,5,F,25.5,1.5
I10,47.4071007,0.0106639,0.113018,23.7,19,25.9,4,F,25.5,1.85
I12,47.4071007,0.0106639,0.110678,28.2,16.9,25.9,4,M,28.5,1.8
I14,46.4239006,0.0106639,0.108868,37,17.5,26,5,F,27.5,1.6
I15,46.4239006,0.0106639,0.108886,36,16,26,5,M,32.5,1.9
I18,45.3008995,0.0098933,0.155389,36.7,18,27.5,4,F,25.5,1.58
I20,45.3008995,0.0098933,0.169185,38,18,27.5,4,M,27.5,1.5
I4,48.0755005,0.00807,0.12588,25,16.5,27,4,F,25,1.7
I5,48.0755005,0.0125182,0.120894,27,16,27,4,M,25.5,1.85
